id,created_at,text,likes,in reply to,retweeted
1285299379746811915,2020-07-20 19:43:46,"We are United in our effort to defeat the Invisible China Virus, and many people say that it is Patriotic to wear a… https://t.co/zcdVQe2vRn",218061,,False
1285206391708360705,2020-07-20 13:34:16,"RT @AllenWest: I just want to say how truly humbled I am by this honor, and that I will work hard for Texas and Texans.

I would like to th…",0,,False
1285196013020610562,2020-07-20 12:53:01,"Congratulations Allen, great job! https://t.co/jjeUk1SwGm",91401,,False
1284899438591451137,2020-07-19 17:14:33,"So we catch Obama &amp; Biden, not to even mention the rest of their crew, SPYING on my campaign, AND NOTHING HAPPENS?… https://t.co/zefK46dmz8",279867,,False
1284894958567260163,2020-07-19 16:56:44,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!,0,,False
1284894845614600194,2020-07-19 16:56:18,"The Radical Left Democrats, who totally control Biden, will destroy our Country as we know it. Unimaginably bad thi… https://t.co/tkjXLN0CNn",151294,,False
1284831061181173761,2020-07-19 12:42:50,"We are trying to help Portland, not hurt it. Their leadership has, for months, lost control of the anarchists and a… https://t.co/aGxYXgi0Rp",197398,,False
1284816646104928256,2020-07-19 11:45:33,MAKE AMERICA GREAT AGAIN!,505441,,False
1284684172511019013,2020-07-19 02:59:09,"RT @GOP: Joe Biden is on a mission to eliminate as many American jobs as possible.
 
No wonder union workers in Pennsylvania tell the Washi…",0,,False
1284683909524070402,2020-07-19 02:58:06,"RT @GOP: The Radical Left wants open borders. 
 
It’s time to let them know just how WRONG they are. 
 
Take the Official Survey NOW!
https…",0,,False
1284683704435191808,2020-07-19 02:57:18,"RT @GOP: School shutdowns hurt the most vulnerable students across our country.
 
The stories out of Mississippi’s Jackson Public School Di…",0,,False
1284683657207336960,2020-07-19 02:57:06,"RT @GOP: “If you need more evidence that Democrats have abandoned the hard-working men and women of this country, look no further than Bide…",0,,False
1284683591268601856,2020-07-19 02:56:51,"RT @GOP: .@realDonaldTrump's tax cuts are working for everyday Americans!
 
The Tax Cuts &amp; Jobs Act continues to boost job growth, increase…",0,,False
1284683453309628417,2020-07-19 02:56:18,RT @GOP: “...The increases in taxes would be expanded to include taxpayers &amp; working people of just about all income levels. It also means…,0,,False
1284680519263948800,2020-07-19 02:44:38,"RT @GOPChairwoman: President @realDonaldTrump is spot on.
 
“[Democrats] want to bury our economy under suffocating, relentless landslides…",0,,False
1284680095991508993,2020-07-19 02:42:57,"RT @TeamTrump: President @realDonaldTrump on the Democrat Party's radical environmental policies: They want to ""make it impossible economic…",0,,False
1284549896389955585,2020-07-18 18:05:35,Saddened to hear the news of civil rights hero John Lewis passing. Melania and I send our prayers to he and his family.,207034,,False
1284354405731651584,2020-07-18 05:08:47,"RT @realDonaldTrump: Corrupt Joe Biden wants to defund our police. He may use different words, but when you look at his pact with Crazy Ber…",0,,False
1284354319941283841,2020-07-18 05:08:26,"RT @realDonaldTrump: I am the ultimate member of The Book of the Month Club. First I have lowlife dummy John Bolton, a war mongering fool,…",0,,False
1284354303763898369,2020-07-18 05:08:22,"RT @realDonaldTrump: ....will all end up going to the government anyway. Next up is Mary Trump, a seldom seen niece who knows little about…",0,,False
1284354291369680896,2020-07-18 05:08:19,"RT @realDonaldTrump: ....Tax Returns. She’s a mess! Many books have been written about me, some good, some bad. Both happily and sadly, the…",0,,False
1284353974112522240,2020-07-18 05:07:04,RT @TimMurtaugh: .@realDonaldTrump is 100% correct that Joe Biden would defund the police. The media is bending over backwards to let Joe B…,0,,False
1284353955980554240,2020-07-18 05:06:59,"RT @TimMurtaugh: ...away from police to other budget areas. This is cutting, or defunding, the police by any definition. Further, the propo…",0,,False
1284353935562678273,2020-07-18 05:06:55,"RT @TimMurtaugh: ... across the United States, effectively bankrupting and destroying them. Joe Biden is an empty vessel, which the extreme…",0,,False
1284352892271566849,2020-07-18 05:02:46,RT @NBSaphierMD: Social interaction is essential for our children. The @AmerAcadPeds officially advocates that ALL policy considerations fo…,0,,False
1284352619780218882,2020-07-18 05:01:41,RT @ricky_phillip: Kudos to the Trump administration who are working hard to get a vaccine and also to Rob Luna for helping us to understan…,0,,False
1284352501286875142,2020-07-18 05:01:13,RT @cvpayne: Take a listen to my Fox Radio interview...,0,,False
1284352298622361600,2020-07-18 05:00:24,"RT @JonathanTurley: The onslaught continues.  Andrew Sullivan is out at NY Mag and Vox.  https://t.co/2cSUvjPBW8
There is now a concerted c…",0,,False
1284352067096772609,2020-07-18 04:59:29,Great job Tammy! https://t.co/ZvJ8jlVCq3,56379,,False
1284351190768156673,2020-07-18 04:56:00,"RT @ScottAdamsSays: I’m no political expert, but the Democrat strategy of effectively legalizing violent crime before a national election s…",0,,False
1284350086227558401,2020-07-18 04:51:37,RT @MelissaAFrancis: So proud! I cannot wait to watch Harris on Sunday! Way to go! https://t.co/kgLdgBqGZY,0,,False
1284349968313180161,2020-07-18 04:51:09,"RT @JasonMillerinDC: “Yes, absolutely!” says Joe Biden - and the media wants to let him off the hook!",0,,False
1284349693007454208,2020-07-18 04:50:03,RT @mschlapp: America v Socialism,0,,False
1284349611642171397,2020-07-18 04:49:44,"RT @PARISDENNARD: In @JoeBiden’s America 
-Police are defunded 
-Communities are less safe 
-Taxes go up 
- Opportunity zones will stop 
-…",0,,False
1284349538300506112,2020-07-18 04:49:26,"RT @TeamTrump: WATCH: Making the Case with @KimGuilfoyle! #TeamTrump 

Text TRUMP to 88022 https://t.co/xa8Mixh2k1",0,,False
1284349446248071168,2020-07-18 04:49:04,RT @ashleyhayek: This mama knows. #WomenforTrump #MomsforTrump #CatholicsforTrump,0,,False
1284349394184220672,2020-07-18 04:48:52,RT @_Sbenitez: Gracias @FabioASays 🇺🇸!,0,,False
